iter	Passed	Remaining
531	101	88
532	101	88
533	101	88
534	101	88
535	101	88
536	101	87
537	102	87
538	102	87
539	102	87
540	102	87
541	102	86
542	103	86
543	103	86
544	103	86
545	103	86
546	103	85
547	103	85
548	104	85
549	104	85
550	104	85
551	104	84
552	104	84
553	105	84
554	105	84
555	105	84
556	105	83
557	105	83
558	105	83
559	106	83
560	106	83
561	106	83
562	106	82
563	106	82
564	107	82
565	107	82
566	107	82
567	107	81
568	107	81
569	108	81
570	108	81
571	108	81
572	108	81
573	108	80
574	109	80
575	109	80
576	109	80
577	109	80
578	110	80
579	110	79
580	110	79
581	110	79
582	110	79
583	110	79
584	111	78
585	111	78
586	111	78
587	111	78
588	111	78
589	112	77
590	112	77
591	112	77
592	112	77
593	112	77
594	112	76
595	113	76
596	113	76
597	113	76
598	113	76
599	113	75
600	114	75
601	114	75
602	114	75
603	114	75
604	114	74
605	115	74
606	115	74
607	115	74
608	115	74
609	115	73
610	115	73
611	116	73
612	116	73
613	116	73
614	116	73
615	116	72
616	117	72
617	117	72
618	117	72
619	117	72
620	117	71
621	117	71
622	118	71
623	118	71
624	118	71
625	118	70
626	118	70
627	119	70
628	119	70
629	119	70
630	119	69
631	119	69
632	119	69
633	120	69
634	120	69
635	120	68
636	120	68
637	120	68
638	121	68
639	121	68
640	121	68
641	121	67
642	121	67
643	122	67
644	122	67
645	122	67
646	122	66
647	122	66
648	122	66
649	123	66
650	123	66
651	123	65
652	123	65
653	123	65
654	124	65
655	124	65
656	124	65
657	124	64
658	124	64
659	125	64
660	125	64
661	125	64
662	125	63
663	125	63
664	125	63
665	126	63
666	126	63
667	126	62
668	126	62
669	126	62
670	127	62
671	127	62
672	127	61
673	127	61
674	127	61
675	128	61
676	128	61
677	128	61
678	128	60
679	128	60
680	129	60
681	129	60
682	129	60
683	129	59
684	129	59
685	130	59
686	130	59
687	130	59
688	130	58
689	130	58
690	130	58
691	131	58
692	131	58
693	131	57
694	131	57
695	131	57
696	132	57
697	132	57
698	132	57
699	132	56
700	132	56
701	132	56
702	133	56
703	133	56
704	133	55
705	133	55
706	134	55
707	134	55
708	134	55
709	134	54
710	134	54
711	134	54
712	135	54
713	135	54
714	135	53
715	135	53
716	135	53
717	136	53
718	136	53
719	136	53
720	136	52
721	136	52
722	136	52
723	137	52
724	137	52
725	137	51
726	137	51
727	137	51
728	138	51
729	138	51
730	138	51
731	138	50
732	139	50
733	139	50
734	139	50
735	139	50
736	139	49
737	140	49
738	140	49
739	140	49
740	140	49
741	140	48
742	140	48
743	141	48
744	141	48
745	141	48
746	141	47
747	141	47
748	141	47
749	142	47
750	142	47
751	142	47
752	142	46
753	142	46
754	143	46
755	143	46
756	143	46
757	143	45
758	143	45
759	143	45
760	144	45
761	144	45
762	144	44
763	144	44
764	144	44
765	145	44
766	145	44
767	145	43
768	145	43
769	145	43
770	146	43
771	146	43
772	146	42
773	146	42
774	146	42
775	146	42
776	147	42
777	147	42
778	147	41
779	147	41
780	147	41
781	148	41
782	148	41
783	148	40
784	148	40
785	148	40
786	149	40
787	149	40
788	149	39
789	149	39
790	149	39
791	149	39
792	150	39
793	150	39
794	150	38
795	150	38
796	150	38
797	151	38
798	151	38
799	151	37
800	151	37
801	152	37
802	152	37
803	152	37
804	152	36
805	152	36
806	152	36
807	153	36
808	153	36
809	153	35
810	153	35
811	153	35
812	153	35
813	154	35
814	154	35
815	154	34
816	154	34
817	154	34
818	155	34
819	155	34
820	155	33
821	155	33
822	155	33
823	156	33
824	156	33
825	156	32
826	156	32
827	156	32
828	157	32
829	157	32
830	157	32
831	157	31
832	157	31
833	157	31
834	158	31
835	158	31
836	158	30
837	158	30
838	158	30
839	159	30
840	159	30
841	159	29
842	159	29
843	159	29
844	160	29
845	160	29
846	160	28
847	160	28
848	160	28
849	160	28
850	161	28
851	161	28
852	161	27
853	161	27
854	161	27
855	162	27
856	162	27
857	162	26
858	162	26
859	162	26
860	162	26
861	163	26
862	163	25
863	163	25
864	163	25
865	163	25
866	164	25
867	164	24
868	164	24
869	164	24
870	164	24
871	165	24
872	165	24
873	165	23
874	165	23
875	165	23
876	165	23
877	166	23
878	166	22
879	166	22
880	166	22
881	166	22
882	167	22
883	167	21
884	167	21
885	167	21
886	167	21
887	168	21
888	168	21
889	168	20
890	168	20
891	168	20
892	168	20
893	169	20
894	169	19
895	169	19
896	169	19
897	169	19
898	170	19
899	170	18
900	170	18
901	170	18
902	170	18
903	171	18
904	171	17
905	171	17
906	171	17
907	171	17
908	171	17
909	172	17
910	172	16
911	172	16
912	172	16
913	172	16
914	173	16
915	173	15
916	173	15
917	173	15
918	173	15
919	173	15
920	174	14
921	174	14
922	174	14
923	174	14
924	174	14
925	175	13
926	175	13
927	175	13
928	175	13
929	175	13
930	176	13
931	176	12
932	176	12
933	176	12
934	176	12
935	176	12
936	177	11
937	177	11
938	177	11
939	177	11
940	177	11
941	178	10
942	178	10
943	178	10
944	178	10
945	178	10
946	178	10
947	179	9
948	179	9
949	179	9
950	179	9
951	179	9
952	180	8
953	180	8
954	180	8
955	180	8
956	180	8
957	181	7
958	181	7
959	181	7
960	181	7
961	181	7
962	181	6
963	182	6
964	182	6
965	182	6
966	182	6
967	182	6
968	183	5
969	183	5
970	183	5
971	183	5
972	184	5
973	184	4
974	184	4
975	184	4
976	184	4
977	184	4
978	185	3
979	185	3
980	185	3
981	185	3
982	185	3
983	186	3
984	186	2
985	186	2
986	186	2
987	186	2
988	187	2
989	187	1
990	187	1
991	187	1
992	187	1
993	187	1
994	188	0
995	188	0
996	188	0
997	188	0
998	188	0
999	189	0
